Generation: ,0,#,#,#,fitness
3,23,29,42,50,0.0036097549282573314
14,19,20,26,44,0.0008211106842826663
14,19,20,26,42,0.000449062096265809
7,15,16,17,47,7.4681241968014454e-06
6,15,27,36,38,4.0440586919468904e-07
4,12,17,36,46,2.3091541833458067e-07
17,36,37,41,43,1.2105265722902433e-07
Generation: ,23,#,#,#,fitness
7,8,9,22,31,0.4251086881430584
5,8,9,22,31,0.3342822879623018
1,7,22,23,32,0.3181157437916268
7,8,22,23,49,0.31031815954313274
7,8,9,22,23,0.24276992586756793
5,8,21,22,34,0.1926095771060624
5,8,9,22,48,0.05086817463669834
1,3,8,16,27,0.04942821225511265
1,7,8,9,14,0.04687235416587722
13,31,35,38,41,0.006795843063895352
7,18,37,43,46,0.0026022196265065387
6,11,19,20,33,0.0024543882803883944
7,9,17,22,29,0.0008601146021952737
14,19,20,26,44,0.0008211106842826663
6,20,23,29,37,0.00041309471707332224
5,7,17,22,48,0.0003811023912690725
4,21,25,43,47,0.00013712500522437368
5,8,22,36,48,0.0001363875479866586
14,16,29,32,36,4.986801851013316e-05
10,17,27,31,39,2.1663186952755793e-06
Generation: ,24,#,#,#,fitness
5,7,8,22,49,0.4742795611753633
7,8,9,22,31,0.4251086881430584
5,8,9,22,31,0.3342822879623018
1,7,22,23,32,0.3181157437916268
7,8,22,23,49,0.31031815954313274
7,8,9,22,23,0.24276992586756793
9,12,22,31,42,0.17992621476841394
1,22,23,26,32,0.09856269664937967
7,8,9,22,38,0.08005216402459402
6,7,8,9,31,0.059394136291829706
22,44,45,49,50,0.04486454336033266
8,22,23,48,49,0.04254330646579364
12,21,25,37,43,0.009067466633700748
7,18,37,43,46,0.0026022196265065387
14,25,39,42,46,0.00232989103181104
21,25,29,43,47,0.0005093427174698553
2,7,10,33,48,0.00020564196774780117
4,21,25,43,47,0.00013712500522437368
14,16,29,32,36,4.986801851013316e-05
9,14,29,32,36,3.7403007272186794e-05
Generation: ,25,#,#,#,fitness
5,7,8,22,49,0.4742795611753633
7,8,9,22,31,0.4251086881430584
5,8,9,22,31,0.3342822879623018
1,7,22,23,32,0.3181157437916268
5,7,8,13,49,0.2604728114128451
7,8,9,22,23,0.24276992586756793
5,8,22,41,49,0.1407047422350861
5,8,12,22,28,0.09307510389276387
7,8,9,22,38,0.08005216402459402
6,7,8,9,31,0.059394136291829706
1,9,18,24,34,0.045927270149991734
9,18,26,28,44,0.0033409642246864015
2,5,32,42,47,0.0008670557226426498
2,10,13,24,43,0.00028823809477658655
3,11,19,23,36,6.441500886986449e-05
10,18,30,42,45,5.230324947818663e-05
14,16,29,32,36,4.986801851013316e-05
2,4,27,38,50,3.1436356304782345e-05
14,18,32,36,45,1.8348196473517568e-05
14,15,16,32,36,1.3837636175857753e-05
Generation: ,26,#,#,#,fitness
5,7,8,22,33,0.4954422761587451
5,7,8,22,49,0.4742795611753633
7,8,9,22,31,0.4251086881430584
5,8,9,22,31,0.3342822879623018
1,7,22,23,32,0.3181157437916268
7,8,9,22,23,0.24276992586756793
5,7,22,38,49,0.09253118236431317
7,8,22,25,26,0.084495760542037
6,7,8,9,31,0.059394136291829706
5,8,22,31,50,0.05767501745176343
1,9,18,24,34,0.045927270149991734
32,33,43,47,49,0.006864731203710306
4,11,21,34,43,0.004448211089366173
1,26,29,32,47,0.001418939364042318
8,14,27,41,46,0.0010661724963120856
6,13,27,38,42,0.00048703686950583803
2,14,20,35,40,0.0001377976514463792
10,20,30,42,45,5.764583255142516e-05
10,18,30,42,45,5.230324947818663e-05
3,36,48,49,50,1.687965670003113e-05
Generation: ,27,#,#,#,fitness
5,7,8,22,33,0.4954422761587451
5,7,8,22,49,0.4742795611753633
5,7,8,33,49,0.4523423226721025
5,7,22,24,33,0.4486323559983693
7,8,9,22,31,0.4251086881430584
5,8,9,22,31,0.3342822879623018
5,7,8,33,35,0.17796814050049098
8,9,22,31,35,0.16481692417144106
5,7,22,38,49,0.09253118236431317
5,6,7,22,49,0.0822469814968087
3,5,8,20,22,0.06101143237345052
6,7,8,9,31,0.059394136291829706
1,9,18,24,34,0.045927270149991734
3,24,26,42,49,0.04018162402298396
5,15,18,26,45,0.001660688194718785
20,30,38,42,45,0.0008217872060821246
1,19,28,35,47,0.00031669072757587314
10,20,30,42,45,5.764583255142516e-05
10,15,16,39,50,4.2805667495397714e-05
4,22,30,36,50,2.524418110180668e-06
Generation: ,28,#,#,#,fitness
5,7,8,22,33,0.4954422761587451
5,7,8,22,49,0.4742795611753633
5,7,8,33,49,0.4523423226721025
5,7,22,24,33,0.4486323559983693
7,8,9,22,31,0.4251086881430584
5,7,8,33,35,0.17796814050049098
7,8,33,41,49,0.1706585943463177
3,5,8,20,22,0.06101143237345052
6,7,8,9,31,0.059394136291829706
5,12,22,24,27,0.05840251134158936
7,16,24,26,41,0.048514432485065984
6,8,9,13,31,0.035206607863887115
3,5,20,22,26,0.02173842022893856
6,7,8,9,20,0.01199239674737568
13,29,38,42,44,0.005118907483220018
13,31,41,48,50,0.001884039733358786
18,20,31,38,46,0.0012004605920284362
11,18,20,27,39,0.0005717225798401222
2,9,10,25,33,0.000515246971263933
19,36,41,45,48,1.1163340445079323e-05
Generation: ,29,#,#,#,fitness
5,7,8,22,33,0.4954422761587451
5,7,8,22,49,0.4742795611753633
5,7,8,33,49,0.4523423226721025
5,7,22,24,33,0.4486323559983693
5,7,8,33,35,0.17796814050049098
7,16,22,24,26,0.17650184662681606
5,8,22,38,49,0.08046347168747359
3,5,8,20,22,0.06101143237345052
5,12,22,24,27,0.05840251134158936
7,16,24,26,41,0.048514432485065984
7,16,26,34,41,0.04765599231978243
1,16,24,26,41,0.044087835871048725
7,8,33,35,48,0.031027938865079024
6,7,16,24,41,0.023612379539733202
7,24,26,29,41,0.014896302627906829
2,6,11,13,23,0.0026654593117357087
2,20,29,35,38,0.0004623669972205516
6,20,34,38,47,5.946376530295041e-05
1,4,17,34,41,5.803268593790921e-05
14,17,24,26,41,2.7968835564664866e-05
Generation: ,30,#,#,#,fitness
5,7,8,22,33,0.4954422761587451
5,7,8,22,49,0.4742795611753633
5,7,8,33,49,0.4523423226721025
5,7,22,24,33,0.4486323559983693
5,7,8,22,24,0.3789795794479345
5,7,8,11,22,0.22781762678664247
3,5,8,20,22,0.06101143237345052
5,12,22,24,27,0.05840251134158936
7,24,26,29,41,0.014896302627906829
5,22,24,27,38,0.009900907082010585
5,26,31,35,37,0.007892414130070533
7,24,26,29,48,0.0068837994703031275
4,21,23,24,35,0.004502842955571978
19,24,26,29,41,0.004194457181017646
5,7,8,10,18,0.0008758754070038537
30,34,35,39,47,0.000350382759464061
8,28,30,40,50,0.0003026782577730044
1,7,17,22,47,8.137753184196464e-05
4,7,20,41,47,7.574527917964551e-05
1,4,17,34,41,5.803268593790921e-05
Generation: ,31,#,#,#,fitness
5,7,8,22,33,0.4954422761587451
5,7,8,22,49,0.4742795611753633
5,7,8,33,49,0.4523423226721025
5,7,22,24,33,0.4486323559983693
5,7,19,24,33,0.11704025175291907
5,7,22,28,33,0.1101000249513377
5,7,8,27,33,0.0614675511980743
5,12,22,24,27,0.05840251134158936
22,23,29,33,43,0.04986009572111691
7,12,14,21,25,0.01774980038838918
7,24,26,29,41,0.014896302627906829
2,7,8,14,49,0.012378831499402457
19,23,26,33,46,0.01208705430080662
7,24,26,29,48,0.0068837994703031275
2,3,6,11,49,0.006001806400787454
2,9,26,30,46,0.001801217362309448
4,7,11,38,42,0.0016364524749251845
7,8,22,33,36,0.0013023350383249974
1,4,17,34,41,5.803268593790921e-05
11,17,39,47,49,1.7828370387139642e-05
Generation: ,32,#,#,#,fitness
5,7,8,22,33,0.4954422761587451
5,7,8,22,49,0.4742795611753633
5,7,8,33,49,0.4523423226721025
5,7,22,24,33,0.4486323559983693
7,8,33,46,49,0.23075283971717658
5,7,11,24,33,0.19675132594454675
5,7,8,29,33,0.1448698599002696
5,7,19,24,33,0.11704025175291907
5,15,22,24,33,0.039288729910941324
5,7,12,14,21,0.031325181232908825
7,19,24,30,33,0.02285196295054012
5,7,29,48,49,0.021864159228389458
5,7,19,20,24,0.020682521661813832
7,12,14,21,25,0.01774980038838918
20,25,33,34,37,0.0059852612281147966
2,9,26,30,46,0.001801217362309448
7,8,22,33,36,0.0013023350383249974
19,20,31,37,41,0.0012696748730235536
6,7,9,18,47,0.0003169629767244405
12,30,32,36,43,8.484464895320236e-05
Generation: ,33,#,#,#,fitness
5,7,8,22,33,0.4954422761587451
5,7,8,22,49,0.4742795611753633
5,7,8,33,49,0.4523423226721025
5,7,22,24,33,0.4486323559983693
5,7,11,24,33,0.19675132594454675
5,7,8,27,33,0.0614675511980743
2,5,7,11,22,0.04918980192657753
7,9,15,24,49,0.034163142144569864
1,22,26,30,32,0.02941223719410183
5,11,21,33,38,0.021932561031781365
5,7,29,48,49,0.021864159228389458
6,8,11,21,42,0.007702243738752374
2,8,24,46,50,0.004473323130083255
15,24,27,29,45,0.0013743081597414172
19,20,31,37,41,0.0012696748730235536
15,24,39,40,50,0.0003726924484081183
10,11,20,28,33,0.00013293143222759975
12,30,32,36,43,8.484464895320236e-05
2,18,28,37,40,7.511694767283967e-05
9,19,26,36,48,1.2429029826981538e-05
Generation: ,34,#,#,#,fitness
7,8,16,22,49,0.6199420492218803
5,7,8,22,33,0.4954422761587451
