Generation: ,0,#,#,#,fitness
3,7,32,33,45,0.32700802529727
3,7,31,33,45,0.3047769271781852
7,21,31,32,33,0.3024758831909831
3,31,32,33,45,0.29461148477661064
21,23,31,32,33,0.15562412407340878
3,21,23,32,33,0.12037479943951868
3,7,22,26,45,0.10989689545491584
7,8,13,30,33,0.053126268698049844
4,7,31,32,33,0.04967288728727145
21,31,33,38,44,0.03569990419485046
8,13,30,31,39,0.02141984076184643
8,30,31,33,38,0.013698856673129055
3,20,39,44,50,0.0034064657905670623
12,31,41,48,50,0.003180755895351445
17,21,24,31,33,0.0012375193752761746
22,32,33,36,45,0.0010468975037782264
14,19,24,27,30,0.00035071665591909133
14,17,35,45,47,2.7443736520062554e-06
Generation: ,12,#,#,#,fitness
7,31,32,33,45,0.42276570959050414
3,7,22,33,45,0.36512657884661565
3,22,31,33,45,0.32895365007515515
3,7,32,33,45,0.32700802529727
3,7,31,33,45,0.3047769271781852
3,31,32,33,45,0.29461148477661064
3,7,31,32,45,0.28619644503738023
13,22,31,33,39,0.1782551127580048
21,23,31,32,33,0.15562412407340878
8,13,30,32,33,0.051354310336697684
4,7,31,32,33,0.04967288728727145
4,31,32,33,45,0.03592062728093028
8,13,30,31,39,0.02141984076184643
4,7,20,31,33,0.009347715720391784
4,7,15,23,31,0.0022492096786449842
22,32,33,36,45,0.0010468975037782264
3,4,22,36,45,6.229385612119117e-05
4,32,36,39,45,3.688173642962593e-05
6,17,26,34,40,1.600936449019954e-05
4,5,17,27,35,1.1360997270233587e-05
Generation: ,13,#,#,#,fitness
7,8,31,32,33,0.5083770095273162
3,7,22,32,33,0.48807495967920905
7,31,32,33,45,0.42276570959050414
3,7,22,33,45,0.36512657884661565
3,22,31,33,45,0.32895365007515515
3,7,32,33,45,0.32700802529727
3,12,13,22,33,0.29951628972218786
7,31,32,33,39,0.2693248003278821
13,22,31,33,39,0.1782551127580048
3,8,29,31,33,0.11566603148235984
4,7,31,32,33,0.04967288728727145
7,15,31,33,45,0.03830095166919876
4,31,32,33,45,0.03592062728093028
4,7,31,32,45,0.03489462007603021
7,13,27,31,45,0.03372351344091211
8,13,30,31,45,0.03362324660771362
7,11,30,33,39,0.022474955793980397
8,13,30,31,39,0.02141984076184643
4,30,31,32,39,0.003413003355271137
4,19,23,36,50,2.2069396617787885e-06
Generation: ,14,#,#,#,fitness
7,22,31,32,33,0.6309978370547965
7,8,31,32,33,0.5083770095273162
3,7,22,32,33,0.48807495967920905
7,31,32,33,45,0.42276570959050414
3,7,22,33,45,0.36512657884661565
7,8,31,32,45,0.35712887999143605
3,7,8,31,45,0.25745854070285157
13,22,31,33,39,0.1782551127580048
8,13,22,33,43,0.15827801931708352
30,31,32,33,39,0.04135023628806121
8,13,30,31,45,0.03362324660771362
3,22,30,32,39,0.033535426788766975
7,14,31,33,39,0.03287165763040626
7,11,30,33,39,0.022474955793980397
11,30,33,39,45,0.016252618970224963
12,30,37,39,45,0.0047470535603148616
7,22,31,33,36,0.0013492838795849187
16,18,35,48,50,0.0007821502469851562
4,19,23,36,45,1.1998476871373918e-05
4,19,23,36,50,2.2069396617787885e-06
Generation: ,15,#,#,#,fitness
7,22,31,32,33,0.6309978370547965
7,8,31,32,33,0.5083770095273162
3,7,22,32,33,0.48807495967920905
7,31,32,33,45,0.42276570959050414
3,7,8,11,31,0.16852428562436897
7,32,33,39,43,0.12669089453747315
7,16,18,22,32,0.11542388159077788
14,31,32,33,45,0.04987840987612009
7,16,18,32,35,0.04146148716924953
7,30,31,32,39,0.04016914220459585
3,12,15,31,33,0.03693651108321556
3,22,30,32,39,0.033535426788766975
7,14,31,33,39,0.03287165763040626
3,7,30,31,46,0.025215466384284305
7,11,30,33,39,0.022474955793980397
1,3,18,32,48,0.009033057500623567
7,14,30,33,39,0.005601856663822103
3,7,30,39,48,0.00440664106020465
3,18,22,26,50,0.0033362931125723427
16,18,35,48,50,0.0007821502469851562
Generation: ,16,#,#,#,fitness
7,22,31,32,33,0.6309978370547965
7,8,31,32,33,0.5083770095273162
3,7,22,32,33,0.48807495967920905
7,22,31,33,45,0.472046510345174
22,31,32,33,45,0.45630200613940525
7,31,32,33,45,0.42276570959050414
3,7,8,22,31,0.3842690611595254
7,12,31,33,39,0.2788236800011142
22,31,33,39,43,0.12744467708859084
7,32,33,39,43,0.12669089453747315
7,31,33,39,43,0.11807802424263303
7,14,31,33,39,0.03287165763040626
7,14,31,32,39,0.030867663255913023
7,11,30,33,39,0.022474955793980397
7,30,32,39,43,0.018895640329103267
7,11,21,23,40,0.011113642813099964
7,18,32,35,50,0.005365419136705748
3,18,22,26,50,0.0033362931125723427
3,31,32,36,39,0.0003768633243682295
17,18,19,21,44,5.296126640830142e-05
Generation: ,17,#,#,#,fitness
7,22,31,32,33,0.6309978370547965
7,8,31,32,33,0.5083770095273162
3,7,22,32,33,0.48807495967920905
7,22,31,33,45,0.472046510345174
7,31,32,33,45,0.42276570959050414
3,7,31,32,33,0.40740388419144735
7,8,31,33,45,0.38031444672962483
3,7,31,33,45,0.3047769271781852
7,22,32,33,41,0.2077834410925705
7,22,26,31,32,0.1899196260927904
3,31,32,33,39,0.18768357393180538
5,7,22,34,43,0.18143122542286588
3,7,26,31,33,0.13058250407508132
22,31,33,39,43,0.12744467708859084
3,22,33,39,43,0.09857808058689442
7,14,22,33,43,0.03622781864799165
7,14,31,33,39,0.03287165763040626
24,25,40,45,46,0.008976648857827441
3,18,22,26,50,0.0033362931125723427
7,14,22,28,30,0.002463786598571307
Generation: ,18,#,#,#,fitness
7,22,31,32,33,0.6309978370547965
7,8,31,32,33,0.5083770095273162
3,7,22,32,33,0.48807495967920905
7,22,31,33,45,0.472046510345174
3,22,31,33,39,0.20956140508517992
7,22,32,33,41,0.2077834410925705
7,22,26,31,33,0.20224961230329186
7,8,22,26,33,0.1952122607966327
7,22,26,31,32,0.1899196260927904
3,31,32,33,39,0.18768357393180538
3,22,26,31,33,0.1409410868111358
3,22,26,31,32,0.13234872593052058
3,7,26,31,33,0.13058250407508132
3,7,26,31,32,0.12262164592439154
7,19,26,31,32,0.04954667346998314
1,2,34,35,44,0.022439505869471382
2,5,21,22,42,0.019774026135203647
22,26,32,45,47,0.0038614955697925026
17,23,32,35,39,0.0002909432546175897
8,10,13,36,42,3.041041841449623e-06
Generation: ,19,#,#,#,fitness
7,22,31,32,33,0.6309978370547965
7,8,31,32,33,0.5083770095273162
3,7,22,32,33,0.48807495967920905
7,22,31,33,45,0.472046510345174
7,8,22,26,33,0.1952122607966327
3,21,31,32,45,0.148074318131093
22,26,31,33,45,0.14625549948897013
3,7,16,19,32,0.12713812852911105
3,7,26,31,32,0.12262164592439154
8,19,22,32,45,0.12047130425773961
3,26,32,33,45,0.10131781726716238
3,7,26,32,45,0.09842385860413969
3,8,22,26,45,0.09556438716153548
2,5,8,21,22,0.046754297539633595
8,26,28,31,32,0.029568744759910733
2,21,31,33,42,0.02160756334622981
2,5,21,22,42,0.019774026135203647
22,31,32,33,47,0.015983810391430476
22,26,32,45,47,0.0038614955697925026
10,22,32,33,42,0.0030654464155986834
Generation: ,20,#,#,#,fitness
7,22,31,32,33,0.6309978370547965
7,8,31,32,33,0.5083770095273162
3,7,22,32,33,0.48807495967920905
7,22,31,33,45,0.472046510345174
3,7,31,32,33,0.40740388419144735
1,3,7,31,33,0.38300584727909737
5,7,9,31,32,0.3442846610699833
3,7,22,31,45,0.3195576890186937
3,16,19,22,33,0.1461323233344594
3,7,16,19,32,0.12713812852911105
7,19,31,32,44,0.1075391536270828
3,8,22,26,45,0.09556438716153548
3,9,32,35,41,0.0389528371376939
7,8,22,26,28,0.03664600727687629
8,26,28,31,32,0.029568744759910733
7,8,22,26,47,0.004803680362908628
22,26,32,45,47,0.0038614955697925026
19,31,32,45,47,0.0029293012958046642
7,22,26,41,47,0.0016388445911410148
18,26,34,45,47,0.00047250293605651395
Generation: ,21,#,#,#,fitness
7,22,31,32,33,0.6309978370547965
1,16,31,32,33,0.5460760669562768
7,8,22,31,32,0.5330317613570703
7,8,31,32,33,0.5083770095273162
3,7,22,32,33,0.48807495967920905
7,22,31,33,45,0.472046510345174
22,31,32,33,44,0.4243335757656912
1,3,7,31,33,0.38300584727909737
1,3,7,8,31,0.32354196701866883
7,8,26,31,32,0.15301284076384924
3,7,16,19,32,0.12713812852911105
1,3,7,19,22,0.12551008011008882
3,7,8,31,41,0.10562266503160257
3,8,16,19,31,0.10304101890925906
1,11,16,19,33,0.08357401605018895
3,9,32,35,41,0.0389528371376939
8,26,28,31,32,0.029568744759910733
3,7,9,20,41,0.018907032152638455
7,8,19,26,28,0.009560295551755733
3,20,22,31,47,0.0020362490335494063
Generation: ,22,#,#,#,fitness
7,22,31,32,33,0.6309978370547965
1,7,16,32,33,0.6061245591049299
1,7,8,22,33,0.5725685678587786
1,16,31,32,33,0.5460760669562768
7,8,22,31,32,0.5330317613570703
7,8,31,32,33,0.5083770095273162
1,7,8,31,32,0.4487952895101746
7,22,31,33,44,0.43897502304929287
22,31,32,33,44,0.4243335757656912
3,8,31,33,44,0.24646074682149835
1,7,16,22,26,0.20369899865319158
7,22,26,31,32,0.1899196260927904
7,8,26,31,32,0.15301284076384924
1,8,26,31,33,0.14807902803800524
7,22,26,31,44,0.1321240222165069
3,7,8,31,41,0.10562266503160257
3,8,16,19,31,0.10304101890925906
2,7,8,31,33,0.09874536531576593
3,7,8,13,19,0.06595829554868327
20,23,28,30,41,0.0005372195273772321
Generation: ,23,#,#,#,fitness
7,22,31,32,33,0.6309978370547965
1,7,16,32,33,0.6061245591049299
1,7,8,22,33,0.5725685678587786
1,16,31,32,33,0.5460760669562768
1,8,22,31,33,0.5158444529303132
1,7,22,33,34,0.5092975590798418
13,22,31,33,44,0.2602078666924437
1,7,16,22,26,0.20369899865319158
7,8,26,32,33,0.1748324543191886
8,19,22,32,33,0.17149226742422444
7,8,26,31,32,0.15301284076384924
8,16,31,32,41,0.15059302595938617
1,8,26,31,33,0.14807902803800524
7,22,26,31,44,0.1321240222165069
3,8,16,19,31,0.10304101890925906
7,26,32,33,41,0.05964660436803521
1,16,26,29,32,0.05757599589657297
7,16,19,26,32,0.05652665805006193
3,19,22,26,33,0.04404976875447284
1,2,3,8,26,0.020891286222757818
Generation: ,24,#,#,#,fitness
7,22,31,32,33,0.6309978370547965
1,7,16,32,33,0.6061245591049299
1,7,8,22,33,0.5725685678587786
7,8,16,22,31,0.5667813760232181
1,16,31,32,33,0.5460760669562768
7,8,22,31,32,0.5330317613570703
1,8,22,31,33,0.5158444529303132
1,7,22,33,34,0.5092975590798418
7,13,22,32,33,0.4151616416993036
1,8,31,33,44,0.3213998484636018
1,7,13,33,34,0.27970458336950355
13,22,31,33,44,0.2602078666924437
1,7,22,31,43,0.24422099119820573
7,19,22,32,33,0.19721224971170162
1,19,22,32,33,0.17921803578195464
8,19,22,32,33,0.17149226742422444
1,19,22,32,34,0.1346638485910853
8,14,22,31,33,0.06697053743180945
13,19,31,32,44,0.0637451615284089
1,13,22,27,31,0.045741326661152826
Generation: ,25,#,#,#,fitness
7,22,31,32,33,0.6309978370547965
1,7,16,32,33,0.6061245591049299
12,16,31,32,33,0.6013484726384988
1,7,8,22,33,0.5725685678587786
7,8,16,22,31,0.5667813760232181
1,7,22,31,32,0.5570449718499415
7,8,22,33,43,0.2670176657650251
1,7,8,21,32,0.2577344870610648
1,7,22,31,43,0.24422099119820573
7,19,22,32,33,0.19721224971170162
1,7,19,22,33,0.18540187692258842
1,19,22,32,33,0.17921803578195464
1,7,8,19,33,0.14937301875802142
1,7,22,27,33,0.08817030047931089
19,22,31,33,46,0.07373111100439814
1,13,22,27,31,0.045741326661152826
1,18,22,31,43,0.04030857300052621
1,22,27,31,43,0.03270306537489535
7,19,22,40,44,0.01802621269716179
13,22,33,44,47,0.007316133286065961
Generation: ,26,#,#,#,fitness
1,12,16,22,32,0.6359895238834506
7,22,31,32,33,0.6309978370547965
1,7,16,32,33,0.6061245591049299
12,16,31,32,33,0.6013484726384988
1,22,31,32,33,0.5734237761849968
1,8,12,22,33,0.5729917883445312
1,7,8,22,33,0.5725685678587786
1,12,31,32,33,0.5316722186742906
1,7,16,22,43,0.2786261012350635
1,7,22,31,43,0.24422099119820573
16,19,22,32,33,0.20270476489344855
7,19,22,32,33,0.19721224971170162
1,7,13,29,31,0.09988223723407501
1,7,30,31,33,0.08438342233643877
7,22,27,31,32,0.08208199541868837
1,13,22,27,31,0.045741326661152826
1,22,27,31,43,0.03270306537489535
1,16,27,32,42,0.02899787269609384
13,22,27,31,43,0.021331492784754116
1,22,27,33,48,0.012087775075731774
Generation: ,27,#,#,#,fitness
1,12,16,22,32,0.6359895238834506
7,22,31,32,33,0.6309978370547965
7,16,22,31,32,0.6300463542145877
1,7,16,32,33,0.6061245591049299
12,16,31,32,33,0.6013484726384988
1,22,31,32,33,0.5734237761849968
1,16,31,32,33,0.5460760669562768
1,12,31,32,33,0.5316722186742906
1,7,31,32,33,0.5312795174537399
7,12,31,33,46,0.24278495512936926
1,7,31,32,43,0.21872476202674954
1,7,30,31,33,0.08438342233643877
5,22,30,31,33,0.07880890946787131
1,13,22,27,31,0.045741326661152826
26,31,32,33,40,0.024498910035659367
7,15,22,30,33,0.009741998724101015
1,13,27,30,31,0.006506655031152437
1,13,15,27,44,0.0027702680606385903
13,14,42,45,50,0.0016133254926602141
2,17,32,33,47,1.5500849314310823e-05
Generation: ,28,#,#,#,fitness
1,12,16,22,32,0.6359895238834506
7,22,31,32,33,0.6309978370547965
7,16,22,31,32,0.6300463542145877
1,7,16,32,33,0.6061245591049299
7,16,31,32,33,0.6009043074726559
1,16,31,32,33,0.5460760669562768
1,7,31,32,33,0.5312795174537399
12,13,16,31,32,0.34627519791136796
1,7,21,22,32,0.3199001937974554
1,22,26,31,33,0.18379577489555465
1,13,22,27,31,0.045741326661152826
7,15,32,33,44,0.03821561992012586
13,15,16,32,44,0.022618622537557594
7,15,18,22,33,0.010472752819949359
15,27,31,32,44,0.004478702403102153
9,19,33,37,48,0.002841170039689531
1,13,15,27,44,0.0027702680606385903
13,15,19,27,32,0.0012338413135898512
18,26,29,41,47,7.909284253709221e-05
22,27,28,32,36,3.639189761973343e-05
Generation: ,29,#,#,#,fitness
1,12,16,22,32,0.6359895238834506
7,22,31,32,33,0.6309978370547965
7,16,22,31,32,0.6300463542145877
1,7,16,32,33,0.6061245591049299
1,12,16,31,32,0.5308705091232001
7,22,31,33,44,0.43897502304929287
1,5,16,22,44,0.3476597325074599
12,13,16,31,32,0.34627519791136796
1,7,13,22,31,0.3415885333025423
1,12,16,33,40,0.08487099456361251
1,12,16,27,32,0.07890468880418912
1,13,22,27,31,0.045741326661152826
1,12,13,27,31,0.04241085500995119
7,15,32,33,44,0.03821561992012586
12,15,16,32,44,0.03818619942415232
1,13,22,27,29,0.016023415566748318
1,7,16,33,47,0.01588351958937329
1,13,26,27,32,0.014088341549496267
1,13,15,27,44,0.0027702680606385903
4,6,28,35,45,0.0004526918480915247
Generation: ,30,#,#,#,fitness
1,12,16,22,32,0.6359895238834506
7,22,31,32,33,0.6309978370547965
7,16,22,31,32,0.6300463542145877
1,7,16,32,33,0.6061245591049299
1,7,22,31,32,0.5570449718499415
12,13,22,32,33,0.4154685130882149
1,13,16,22,32,0.3767121943395672
1,7,13,32,33,0.349552508288795
1,13,16,22,34,0.3014371943253416
1,16,27,31,33,0.07564688151035467
7,13,16,27,32,0.05142978423546069
1,13,22,27,31,0.045741326661152826
1,12,13,27,31,0.04241085500995119
13,22,26,27,32,0.016732647793438447
22,25,27,31,43,0.016034443914404797
1,13,22,27,29,0.016023415566748318
1,7,16,33,47,0.01588351958937329
1,13,26,27,32,0.014088341549496267
1,6,13,27,31,0.006390757624241645
1,13,27,33,47,0.0012265994273866028
Generation: ,31,#,#,#,fitness
7,16,22,32,33,0.7198908921127477
16,22,31,32,33,0.6485716196405104
1,12,16,22,32,0.6359895238834506
7,22,31,32,33,0.6309978370547965
7,16,22,31,32,0.6300463542145877
1,7,16,32,33,0.6061245591049299
1,13,16,22,32,0.3767121943395672
7,13,22,31,32,0.3633482262773544
1,7,22,29,31,0.1818696676541285
1,7,13,29,32,0.10716786688085675
1,16,22,25,29,0.09245115640047494
13,16,22,27,32,0.055509501337486375
13,16,22,31,48,0.052967512450283534
1,13,16,22,27,0.052185225563076455
12,13,16,27,32,0.051467799137933735
13,22,26,27,32,0.016732647793438447
1,13,22,27,29,0.016023415566748318
1,13,16,26,27,0.014980363625948226
1,13,27,33,47,0.0012265994273866028
24,34,36,38,49,0.00013725497118377902
Generation: ,32,#,#,#,fitness
7,16,22,32,33,0.7198908921127477
1,12,16,22,33,0.6772793169439901
7,16,22,31,33,0.670950304055175
16,22,31,32,33,0.6485716196405104
1,12,16,22,32,0.6359895238834506
7,22,31,32,33,0.6309978370547965
7,16,22,31,32,0.6300463542145877
1,7,13,29,32,0.10716786688085675
1,16,22,25,29,0.09245115640047494
7,22,31,32,50,0.08153259800149673
1,7,13,33,47,0.009160038195974966
7,16,22,43,47,0.007766519208314072
4,5,7,25,48,0.0026614960054301847
8,14,15,34,43,0.0019206442163447728
16,22,27,34,47,0.0018981316146891051
7,13,16,27,47,0.0013477196610998323
1,13,27,33,47,0.0012265994273866028
27,32,33,41,47,0.0006530045873991464
4,11,23,27,47,4.577189629151483e-05
1,17,33,35,47,3.009117539657105e-05
Generation: ,33,#,#,#,fitness
7,16,22,32,33,0.7198908921127477
1,12,16,22,33,0.6772793169439901
7,16,22,31,33,0.670950304055175
7,12,22,31,33,0.6532526480523586
16,22,31,32,33,0.6485716196405104
12,16,22,23,24,0.2933113718419846
1,6,7,16,32,0.08879175849710727
7,16,18,22,35,0.04629455485148705
8,15,22,31,34,0.0373523254701994
4,7,23,31,32,0.0248267649854474
11,22,23,27,32,0.02218822235970704
1,7,13,33,47,0.009160038195974966
4,5,7,25,48,0.0026614960054301847
8,14,15,34,43,0.0019206442163447728
22,23,27,31,47,0.0011066720304983761
4,7,25,33,47,0.0006437633831973081
4,8,14,15,43,0.00021097759312468993
14,15,25,43,48,0.00017442905837602302
4,8,27,43,47,6.926343288730526e-05
4,11,23,27,47,4.577189629151483e-05
Generation: ,34,#,#,#,fitness
7,16,22,32,33,0.7198908921127477
1,12,16,22,33,0.6772793169439901
7,16,22,31,33,0.670950304055175
7,12,22,31,33,0.6532526480523586
3,7,16,22,33,0.5189780746745165
12,16,22,23,24,0.2933113718419846
1,6,7,16,32,0.08879175849710727
22,31,32,33,48,0.08650713319709488
6,7,12,24,32,0.07490724791046224
7,21,28,31,33,0.06046835819559832
4,22,31,32,44,0.03502403003826723
7,18,22,26,32,0.03479309147217584
16,22,23,25,38,0.028136977573980548
14,18,23,24,31,0.004634937190232211
